Game Title,Platform,Year,Genre,Publisher,Developer,Release Date,User Rating,Global Sales in Millions,North America Sales,Europe Sales,Japan Sales,Other Sales,Total Revenue,Physical vs Digital Sales %,Peak Concurrent Players,Subscription Revenue,Average Playtime Hours,Player Retention %,Year Over Year Growth %,Best Selling Genre By Year,Sales Growth
Super Mario Odyssey,SNES,2010,Strategy,Electronic Arts,Bungie,9/18/2019,4.56,21.12,9.66,6.82,2.80,3.34,1055.86,56.99,898815,6.75,10.79,71.41,6.09,RPG,
The Legend of Zelda: Breath of the Wild,PS4,2022,Shooter,Ubisoft,Nintendo,9/8/2025,4.34,341.76,14.63,2.25,1.90,0.11,17087.82,40.44,195910,0.75,34.00,83.36,8.56,Puzzle,1518.38
Call of Duty: Modern Warfare 2,GameCube,2011,Puzzle,Electronic Arts,EA Sports,3/16/2022,8.39,36.41,4.82,1.07,4.29,7.98,1820.50,43.00,946658,0.22,36.29,88.38,8.60,Shooter,-89.35
Call of Duty: Modern Warfare 2,Xbox 360,2017,Platform,Microsoft,Valve,6/24/2025,2.93,212.68,7.13,1.98,0.24,0.16,10634.25,48.06,323869,2.79,64.94,71.37,12.40,Action,484.14
Fortnite,Switch,2025,Sports,Nintendo,Valve,5/1/2012,6.13,6299.47,12.75,1.62,3.42,9.32,314973.60,52.38,365923,4.83,69.56,60.17,7.18,Strategy,2861.88
Animal Crossing: New Horizons,NES,2013,Shooter,Nintendo,EA Sports,9/14/2011,9.37,62.86,6.09,9.51,1.99,7.03,3143.01,51.69,559244,2.53,97.09,77.97,8.19,Sports,-99.00
Call of Duty: Modern Warfare 2,SNES,2024,Racing,Bethesda,Nintendo,4/15/2014,7.35,1707.09,12.89,8.75,4.77,0.13,85354.67,43.98,266160,3.29,52.29,65.29,10.61,Platform,2615.70
Super Mario Odyssey,PS3,2024,RPG,Microsoft,Bungie,4/19/2017,8.51,3206.75,2.08,0.25,2.09,7.09,160337.53,59.94,384685,3.41,32.00,73.41,9.59,Platform,87.85
Minecraft,GameCube,2010,Strategy,Microsoft,Valve,4/27/2025,1.60,27.45,15.22,7.83,4.39,8.99,1372.48,58.46,296031,7.65,6.02,70.80,11.18,Adventure,-99.14
Red Dead Redemption 2,Xbox 360,2014,Adventure,Microsoft,Bungie,2/7/2015,2.11,92.37,14.20,4.61,4.87,7.97,4618.31,50.07,537112,6.55,60.01,68.89,12.02,Strategy,236.49
Fortnite,PS4,2020,Platform,Electronic Arts,Bungie,6/28/2016,9.26,1306.68,2.86,0.61,3.52,5.25,65333.99,58.63,725767,9.95,13.89,65.25,11.35,Puzzle,1314.67
The Witcher 3: Wild Hunt,PS3,2010,Action,Ubisoft,Bungie,3/29/2024,5.05,43.74,9.65,9.14,2.66,6.43,2187.20,53.69,777275,8.61,63.38,78.18,11.90,RPG,-96.65
